noise_type,angle_deg,trans_m,n_samples,traj_pos_l2,traj_rot_l1,traj_pos_acc_001,traj_rot_acc_0025,traj_gripper
R_only,0.0,0.0,348,0.037667,0.045725,0.652299,0.12069,1.0
R_only,2.0,0.0,348,0.037455,0.046003,0.655172,0.143678,1.0
R_only,5.0,0.0,348,0.03781,0.046143,0.655172,0.135057,1.0
R_only,10.0,0.0,348,0.037327,0.045028,0.663793,0.16092,1.0
R_only,15.0,0.0,348,0.037205,0.046323,0.663793,0.114943,1.0
R_only,20.0,0.0,348,0.037569,0.044981,0.655172,0.140805,1.0
T_only,0.0,0.0,348,0.037527,0.046699,0.643678,0.109195,1.0
T_only,0.0,0.01,348,0.037932,0.044912,0.666667,0.146552,1.0
T_only,0.0,0.02,348,0.037729,0.045933,0.640805,0.152299,1.0
T_only,0.0,0.05,348,0.037619,0.045687,0.663793,0.146552,1.0
T_only,0.0,0.1,348,0.037118,0.045495,0.66092,0.149425,1.0
T_only,0.0,0.2,348,0.037546,0.045771,0.663793,0.152299,1.0
RT,0.0,0.0,348,0.037315,0.045675,0.646552,0.135057,1.0
RT,2.0,0.01,348,0.037316,0.046185,0.658046,0.140805,1.0
RT,5.0,0.02,348,0.037287,0.04669,0.643678,0.126437,1.0
RT,10.0,0.05,348,0.037426,0.045819,0.666667,0.143678,1.0
RT,15.0,0.1,348,0.037486,0.045444,0.655172,0.155172,1.0
RT,20.0,0.2,348,0.037331,0.046168,0.655172,0.12069,1.0
